,permalink,name,homepage_url,category_list,status,country_code,state_code,region,city,founded_at
27,/Organization/1006-Tv,1006.tv,http://www.1006.tv/,Games|Media,operating,CHN,22,Beijing,Beijing,01/01/2009
28,/Organization/100Du-Tv,100du.tv,http://www.100du.com,Hospitality,operating,CHN,23,Shanghai,Shanghai,
29,/Organization/100E-Com,100e.com,http://www.100e.com,Education,operating,CHN,22,Beijing,Beijing,
30,/Organization/100Health,Redox,http://www.redoxengine.com,Health Care|Health Care Information Technology|Hospitals,operating,USA,WI,Madison,Madison,04/07/2014
31,/Organization/100Plus,100Plus,http://www.100plus.com,Analytics,acquired,USA,CA,SF Bay Area,San Francisco,16/09/2011
32,/Organization/1010Data,1010data,http://www.1010data.com,Software,acquired,USA,NY,New York City,New York,01/01/2000
33,/Organization/10Alike,Cliptone,http://www.cliptone.me/,Advertising|Image Recognition|Sales and Marketing|Social Media|Social Media Advertising,operating,CAN,ON,Toronto,Toronto,03/03/2012
34,/Organization/10Bestthings,10BestThings,http://10bestthings.com,Curated Web,closed,USA,OH,Cleveland,Cleveland,01/04/2009
35,/Organization/10K-2,Beans Around,http://beansaround.com/,Coffee|Delivery|Subscription Service,operating,,,,,01/04/2015
36,/Organization/10Sec,10sec,https://10s.ec/,E-Commerce|Mobile Commerce|Social Commerce,operating,USA,CA,SF Bay Area,San Francisco,08/07/2013
37,/Organization/10Seconds-Software,10seconds Software,http://www.10secondsSoftware.com,Enterprise Software|Mobility|Software,operating,AUS,2,Sydney,Sydney,01/07/2009
38,/Organization/10Six,10Six,http://10sixenergy.com,Batteries|Electronics|Energy,operating,USA,NY,New York City,New York,
39,/Organization/10Tracks-2,10tracks,http://10tracks.com,iOS|Mobile|Music,operating,,,,,01/01/2012
40,/Organization/10X-Genomics,10X Genomics,http://10xgenomics.com,Biotechnology|Technology,operating,USA,CA,SF Bay Area,Pleasanton,01/01/2012
41,/Organization/10X-Technologies,10X Technologies,http://10xtechnologies.com,Biotechnology,operating,USA,CA,SF Bay Area,Oakland,01/01/2012
42,/Organization/10X10-Room,10X10 Room,http://10x10room.com,Software,operating,USA,MA,Boston,Lexington,01/01/2010
43,/Organization/10°North,10°North,,Fashion,operating,CAN,ON,Toronto,Mississauga,05/01/2013
44,/Organization/11-Health,11 Health,http://www.11health.com,Health and Wellness,operating,GBR,H9,London,London,
45,/Organization/115-Network-Disks,115 network disks,http://www.115.com/,EdTech|Education,operating,,,,,
46,/Organization/117Go,117go,http://117go.com,Social Travel,operating,CHN,23,Shanghai,Shanghai,01/10/2011
47,/Organization/11I-Solutions,11i Solutions,http://www.11isolutions.com,Enterprise Software,closed,USA,AL,Huntsville,Huntsville,
48,/Organization/12-Labs,12 Labs,http://www.getapplause.com/,Health and Wellness|Personal Health,operating,USA,CA,SF Bay Area,Palo Alto,01/08/2014
49,/Organization/12-Star-Survival,12 Star Survival,http://www.12starsurvival.com,Sports,operating,DNK,21,DNK - Other,Vinding,17/07/2013
50,/Organization/120-Sports,120 Sports,http://www.120sports.com,Sports,operating,USA,IL,Chicago,Chicago,01/01/2013
51,/Organization/121-Rentals,121 Rentals,,Real Estate,operating,USA,TX,TX - Other,Amarillo,12/04/2011
52,/Organization/121Cast,121cast,http://www.121cast.com,Audio|Mobile|Music,operating,AUS,7,Melbourne,Melbourne,01/02/2012
53,/Organization/121Nexus,121nexus,http://www.121nexus.com,Health Diagnostics|Medical Devices|Personalization|Pharmaceuticals|Politics|Software|Technology,operating,USA,RI,Providence,Providence,07/10/2011
54,/Organization/1234Enter,1234ENTER,http://www.1234enter.com.br,Advertising|Analytics|Business Services|E-Commerce|Education|Internet Marketing|Small and Medium Businesses,operating,,,,,01/01/2012
55,/Organization/123Contactform,123ContactForm,http://www.123contactform.com,E-Commerce|SaaS,operating,ROM,36,Timisoara,Timisoara,01/01/2008
56,/Organization/123Feng-Com,123Feng.Com,http://123feng.com/,,operating,CHN,2,Hangzhou,Hangzhou,01/01/2014
57,/Organization/123Greetings,123Greetings,http://www.123greetings.com/,Internet,operating,,,,,01/05/1997
58,/Organization/123People,yelster digital gmbh (former 123people),http://yelsterdigital.com,Local Search|Software|Web Design,acquired,AUT,9,Vienna,Vienna,01/01/2007
59,/Organization/1248,1248,http://1248.io/index.php/?page=index,Software,operating,GBR,C3,London,Cambridge,01/01/2013
60,/Organization/128-Technology,128 Technology,http://www.128technology.com/,Service Providers|Technology,operating,USA,MA,Boston,Burlington,07/07/2014
61,/Organization/12Bis,12Bis,http://12bis.com,Publishing|Services,operating,FRA,A8,Paris,Paris,01/01/2008
62,/Organization/12Cm,12cm,http://www.echoss.co.kr,Mobile|Service Providers|Software,operating,KOR,13,Bundangdong,Bundangdong,
63,/Organization/12Return,12Return,http://www.12return.com,Consumer Goods|Retail|SaaS|Software,operating,NLD,11,NLD - Other,Gorinchem,10/12/2010
64,/Organization/12Society,12Society,http://www.12Society.com,E-Commerce,acquired,USA,CA,Los Angeles,West Hollywood,01/01/2012
65,/Organization/1366-Technologies,1366 Technologies,http://www.1366tech.com,Manufacturing,operating,USA,MA,Boston,Bedford,01/01/2007
66,/Organization/139Shop,139shop,http://www.139shop.com,E-Commerce,operating,CHN,,,,
67,/Organization/13Th-Lab,13th Lab,http://13thlab.com,Augmented Reality|Computer Vision|Games|iPad|Mobile,acquired,SWE,26,Stockholm,Stockholm,01/01/2010
68,/Organization/140-Proof,140 Proof,http://140proof.com,Advertising|Big Data Analytics|Interest Graph,operating,USA,CA,SF Bay Area,San Francisco,11/01/2010
69,/Organization/140Fire,140Fire,http://140fire.com,Advertising|Entertainment|Real Time|Social Media|Sports|Video,operating,USA,CA,Los Angeles,Santa Monica,01/01/2010
70,/Organization/1417,1417,http://1417power.com,Finance|Venture Capital,operating,USA,TN,Nashville,Brentwood,12/01/2012
71,/Organization/15Fen,15Fen,http://www.15fen.com/,,operating,CHN,30,Guangzhou,Guangzhou,
72,/Organization/15Five,15Five,http://15five.com,Software,operating,USA,CA,SF Bay Area,San Francisco,01/05/2011
73,/Organization/15Minutesnow,15MinutesNOW,http://15minutesnow.com,Games,operating,,,,,19/04/2011
74,/Organization/15Shopstop,15ShopStop,http://15shopstop.com,Fashion,operating,USA,CA,Los Angeles,Los Angeles,17/11/2014
75,/Organization/16-Mile-Solutions,16 Mile Solutions,,Software,operating,USA,WA,Seattle,Seattle,01/01/2006
76,/Organization/169-St,169 ST.,http://www.junebugreview.com,Entertainment|Games,closed,USA,FL,Orlando,Lake Mary,15/05/2009
77,/Organization/16Lab-Inc-,16Lab Inc.,http://16lab.net,Design|Development Platforms|Wearables,operating,JPN,19,JPN - Other,Kamakura,24/04/2013
78,/Organization/16Wifi,16WiFi,,Public Transportation,operating,CHN,22,Beijing,Beijing,01/01/2011
79,/Organization/17-Media,17 Media,http://17.media,,operating,,,,,15/07/2015
80,/Organization/170-Systems,170 Systems,http://www.170systems.com,Software,acquired,USA,MA,Boston,Bedford,01/01/1990
81,/Organization/17Hats,17hats,https://www.17hats.com,Internet,operating,USA,CA,Los Angeles,Los Angeles,01/01/2014
82,/Organization/17U-Cn,17u.cn,http://www.17u.cn,Travel,operating,CHN,4,Shanghai,Suzhou,01/01/2004
83,/Organization/17Zuoye,17zuoye,http://www.17zuoye.com/,Education|Language Learning,operating,USA,VA,VA - Other,Shanghai,01/01/2007
84,/Organization/1800Diapers,1800Diapers,,Baby Accessories|Kids,operating,,,,,
85,/Organization/180Solutions,180Solutions,,Advertising|Advertising Platforms|Promotional,closed,USA,WA,Seattle,Bellevue,
86,/Organization/1871,1871,http://www.1871.com,Designers|Internet|Non Profit|Startups,operating,USA,IL,Chicago,Chicago,
87,/Organization/19Pay,19pay,http://www.19pay.com.cn,Finance|FinTech,operating,CHN,22,Beijing,Beijing,01/01/2005
88,/Organization/1Bib,1bib,http://www.1bib.com,Cars|Curated Web,closed,CHN,30,Guangzhou,Guangzhou,01/01/2006
89,/Organization/1Bog,One Block Off the Grid (1BOG),http://1bog.org,Clean Technology|Residential Solar,closed,USA,CA,SF Bay Area,San Francisco,01/11/2008
90,/Organization/1C-Company,1C Company,http://1c.ru/eng,Games|Software|Video Games,closed,RUS,48,Moscow,Moscow,01/01/1991
91,/Organization/1Calendar,1calendar,http://1calendar.com,Advertising|Education|Internet|Mobile,operating,DNK,17,Copenhagen,Copenhagen,19/01/2009
92,/Organization/1Cast,1Cast,http://www.1cast.com,Content|Lifestyle|News|Video,closed,USA,WA,Seattle,Kirkland,01/06/2006
93,/Organization/1Click,1CLICK,http://1click.io,Chat|Mobile,acquired,IND,19,Bangalore,Bangalore,01/11/2012
94,/Organization/1Cloudstar-Asia,1CloudStar,http://www.1CloudStar.com,Cloud Computing|Content|Digital Media|Enterprise Software|File Sharing|Search,operating,SGP,,Singapore,Singapore,01/01/2012
95,/Organization/1Commmedical,1CommMedical,http://1commmedical.com,Health Care|Insurance|Medical,operating,USA,IA,Des Moines,Ankeny,01/01/2013
96,/Organization/1D4-Pty,1d4 Pty,http://www.immortaloutdoors.com,Geospatial|Maps|Outdoors,operating,NOR,2,,,
97,/Organization/1Day1Song,1Day1Song,http://1day1song.com/,Music Services,operating,KOR,11,Seoul,Seoul,01/12/2012
98,/Organization/1Daylater,1DayLater,http://1daylater.com,Curated Web|Tracking,closed,AUS,2,Sydney,Newcastle,26/08/2009
99,/Organization/1Daymakeover,1DayMakeover,http://www.1daymakeover.com,Cosmetics|E-Commerce|Fashion|Lifestyle|Personal Health|Shopping,closed,USA,CA,"Orange County, California",Santa Ana,30/06/2008
100,/Organization/1Doc3,1doc3,http://www.1doc3.com,Health and Wellness|Health Care|Internet|SMS,operating,COL,34,Bogota,Bogotá,01/11/2013
101,/Organization/1Docway,1DocWay,http://1docway.com,Doctors|Health Care|Health Care Information Technology|Video|Video Chat,acquired,USA,NY,New York City,New York,01/02/2011
102,/Organization/1Energy-Systems,1Energy Systems,http://1energysystems.com,Software,operating,USA,WA,Seattle,Seattle,01/01/2010
103,/Organization/1Eq,Babyscripts,http://www.getbabyscripts.com,Health and Wellness|Mobile Health,operating,USA,DC,"Washington, D.C.",Washington,08/03/2013
104,/Organization/1Jiajie,1jiajie,http://www.1jiajie.com,E-Commerce,operating,CHN,22,Beijing,Beijing,
105,/Organization/1Lay,1Lay,http://1lay.com,Mobile|Mobile Devices|Mobile Security|Security|Tablets,operating,,,,,18/07/2013
106,/Organization/1Life-Healthcare,1Life Healthcare,http://www.1life.com,Health and Wellness|Health Care|Services,operating,USA,CA,SF Bay Area,San Francisco,01/01/2002
107,/Organization/1Mind,1Mind,http://1mind.com,Social Media,operating,USA,NH,"Manchester, New Hampshire",Hampton Falls,01/01/2011
108,/Organization/1Mpact-Revolution-Powering-Helpfreely-Org,1mpact Revolution - Powering Helpfreely.org,http://www.1mpactrevolution.com,Non Profit|Online Shopping|Social Fundraising,operating,ESP,53,Las Palmas De Gran Canaria,Las Palmas De Gran Canaria,01/09/2013
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
